river,pH,Alk,DOC,DON,NO3,NH4,TDP,PO4,DHP,SiO2,UTHg,POC,PON
Ob,0.012,0.61,0.389,0.181,0.111,0.713,0.029,0.0,0.086,0.524,0.151,0.256,0.455
Yenisey,0.127,0.72,0.765,0.431,0.163,0.047,0.115,0.001,0.003,0.216,0.296,0.206,0.324
Lena,0.001,0.817,0.403,0.349,0.525,0.091,0.119,0.096,0.034,0.547,0.441,0.839,0.84
Kolyma,0.046,0.418,0.587,0.021,0.268,0.083,0.136,0.017,0.126,0.412,0.505,0.646,0.626
Yukon,0.422,0.569,0.646,0.436,0.734,0.563,0.177,0.035,0.032,0.39,0.538,0.403,0.456
Mackenzie,0.126,0.521,0.278,0.098,0.537,0.007,0.118,0.151,0.013,0.012,0.831,0.673,0.788
