,chem_var,river,season,r_sq,rmse,bias
0,pH,Ob,winter,0.247,0.028,-0.0
1,pH,Ob,summer,0.277,0.017,0.0
2,pH,Yenisey,winter,0.052,0.017,-0.0
3,pH,Yenisey,summer,0.321,0.01,-0.0
4,pH,Lena,winter,0.477,0.01,0.0
5,pH,Lena,summer,0.413,0.01,-0.0
6,pH,Kolyma,winter,0.788,0.022,0.0
7,pH,Kolyma,summer,0.21,0.016,-0.0
8,pH,Yukon,winter,0.869,0.005,0.0
9,pH,Yukon,summer,0.096,0.011,-0.0
10,pH,Mackenzie,winter,0.106,0.005,0.0
11,pH,Mackenzie,summer,0.293,0.008,-0.0
0,Alk,Ob,winter,0.227,0.116,0.0
1,Alk,Ob,summer,0.37,0.137,-0.0
2,Alk,Yenisey,winter,0.191,0.08,0.0
3,Alk,Yenisey,summer,0.26,0.133,-0.0
4,Alk,Lena,winter,0.219,0.059,-0.0
5,Alk,Lena,summer,0.325,0.065,-0.0
6,Alk,Kolyma,winter,0.237,0.065,-0.0
7,Alk,Kolyma,summer,0.141,0.102,0.0
8,Alk,Yukon,winter,0.0,0.12,0.0
9,Alk,Yukon,summer,0.26,0.09,-0.0
10,Alk,Mackenzie,winter,0.0,0.034,0.0
11,Alk,Mackenzie,summer,0.264,0.044,-0.0
0,DOC,Ob,winter,0.236,0.112,-0.0
1,DOC,Ob,summer,0.263,0.099,0.0
2,DOC,Yenisey,winter,0.427,0.114,-0.0
3,DOC,Yenisey,summer,0.495,0.042,0.0
4,DOC,Lena,winter,0.072,0.116,-0.0
5,DOC,Lena,summer,0.521,0.133,0.0
6,DOC,Kolyma,winter,0.439,0.095,0.0
7,DOC,Kolyma,summer,0.567,0.125,-0.0
8,DOC,Yukon,winter,0.173,0.071,0.0
9,DOC,Yukon,summer,0.413,0.154,-0.0
10,DOC,Mackenzie,winter,0.015,0.074,-0.0
11,DOC,Mackenzie,summer,0.443,0.074,0.0
0,DON,Ob,winter,0.032,0.211,-0.0
1,DON,Ob,summer,0.077,0.158,-0.0
2,DON,Yenisey,winter,0.201,0.175,-0.0
3,DON,Yenisey,summer,0.098,0.091,0.0
4,DON,Lena,winter,0.038,0.161,-0.0
5,DON,Lena,summer,0.559,0.128,-0.0
6,DON,Kolyma,winter,0.002,0.224,-0.0
7,DON,Kolyma,summer,0.127,0.203,-0.0
8,DON,Yukon,winter,0.052,0.262,0.0
9,DON,Yukon,summer,0.188,0.183,-0.0
10,DON,Mackenzie,winter,0.001,0.327,0.0
11,DON,Mackenzie,summer,0.139,0.177,-0.0
0,NO3,Ob,winter,0.041,0.147,0.0
1,NO3,Ob,summer,0.016,0.567,0.0
2,NO3,Yenisey,winter,0.334,0.613,0.0
3,NO3,Yenisey,summer,0.363,0.258,0.0
4,NO3,Lena,winter,0.415,0.16,-0.0
5,NO3,Lena,summer,0.0,0.529,-0.0
6,NO3,Kolyma,winter,0.469,0.129,-0.0
7,NO3,Kolyma,summer,0.003,0.506,-0.0
8,NO3,Yukon,winter,0.003,0.099,-0.0
9,NO3,Yukon,summer,0.334,0.087,-0.0
10,NO3,Mackenzie,winter,0.002,0.111,-0.0
11,NO3,Mackenzie,summer,0.071,0.12,0.0
0,NH4,Ob,winter,0.498,0.198,0.0
1,NH4,Ob,summer,0.249,0.378,0.0
2,NH4,Yenisey,winter,0.008,0.342,0.0
3,NH4,Yenisey,summer,0.019,0.308,-0.0
4,NH4,Lena,winter,0.102,0.188,0.0
5,NH4,Lena,summer,0.096,0.385,0.0
6,NH4,Kolyma,winter,0.115,0.347,-0.0
7,NH4,Kolyma,summer,0.096,0.337,-0.0
8,NH4,Yukon,winter,0.102,0.162,-0.0
9,NH4,Yukon,summer,0.031,0.422,0.0
10,NH4,Mackenzie,winter,0.033,0.448,0.0
11,NH4,Mackenzie,summer,0.0,0.397,-0.0
0,TDP,Ob,winter,0.196,0.208,-0.0
1,TDP,Ob,summer,0.008,0.267,-0.0
2,TDP,Yenisey,winter,0.007,0.199,0.0
3,TDP,Yenisey,summer,0.086,0.124,0.0
4,TDP,Lena,winter,0.054,0.3,-0.0
5,TDP,Lena,summer,0.225,0.228,-0.0
6,TDP,Kolyma,winter,0.008,0.253,0.0
7,TDP,Kolyma,summer,0.302,0.249,0.0
8,TDP,Yukon,winter,0.003,0.293,-0.0
9,TDP,Yukon,summer,0.034,0.266,0.0
10,TDP,Mackenzie,winter,0.01,0.315,0.0
11,TDP,Mackenzie,summer,0.147,0.275,-0.0
0,PO4,Ob,winter,0.049,0.241,-0.0
1,PO4,Ob,summer,0.003,0.215,-0.0
2,PO4,Yenisey,winter,0.056,0.191,0.0
3,PO4,Yenisey,summer,0.094,0.114,-0.0
4,PO4,Lena,winter,0.002,0.262,0.0
5,PO4,Lena,summer,0.177,0.276,-0.0
6,PO4,Kolyma,winter,0.032,0.205,0.0
7,PO4,Kolyma,summer,0.104,0.239,0.0
8,PO4,Yukon,winter,0.065,0.163,0.0
9,PO4,Yukon,summer,0.002,0.249,-0.0
