,chem_var,river,season,r_sq,rmse,bias
10,PO4,Mackenzie,winter,0.076,0.333,0.0
11,PO4,Mackenzie,summer,0.303,0.266,-0.0
0,DHP,Ob,winter,0.14,0.281,-0.0
1,DHP,Ob,summer,0.036,0.445,-0.0
2,DHP,Yenisey,winter,0.001,0.484,-0.0
3,DHP,Yenisey,summer,0.009,0.309,-0.0
4,DHP,Lena,winter,0.03,0.35,-0.0
5,DHP,Lena,summer,0.006,0.368,0.0
6,DHP,Kolyma,winter,0.002,0.515,-0.0
7,DHP,Kolyma,summer,0.357,0.376,0.0
8,DHP,Yukon,winter,0.003,0.502,-0.0
9,DHP,Yukon,summer,0.013,0.478,0.0
10,DHP,Mackenzie,winter,0.012,0.373,0.0
11,DHP,Mackenzie,summer,0.141,0.378,0.0
0,SiO2,Ob,winter,0.207,0.122,0.0
1,SiO2,Ob,summer,0.173,0.168,0.0
2,SiO2,Yenisey,winter,0.0,0.098,0.0
3,SiO2,Yenisey,summer,0.007,0.086,-0.0
4,SiO2,Lena,winter,0.0,0.09,-0.0
5,SiO2,Lena,summer,0.368,0.088,-0.0
6,SiO2,Kolyma,winter,0.075,0.086,0.0
7,SiO2,Kolyma,summer,0.366,0.117,0.0
8,SiO2,Yukon,winter,0.006,0.157,-0.0
9,SiO2,Yukon,summer,0.129,0.091,0.0
10,SiO2,Mackenzie,winter,0.023,0.085,0.0
11,SiO2,Mackenzie,summer,0.024,0.07,0.0
0,UTHg,Ob,winter,0.239,0.181,0.0
1,UTHg,Ob,summer,0.39,0.174,-0.0
2,UTHg,Yenisey,winter,0.273,0.294,-0.0
3,UTHg,Yenisey,summer,0.063,0.185,-0.0
4,UTHg,Lena,winter,0.038,0.22,0.0
5,UTHg,Lena,summer,0.157,0.19,-0.0
6,UTHg,Kolyma,winter,0.001,0.187,-0.0
7,UTHg,Kolyma,summer,0.558,0.19,-0.0
8,UTHg,Yukon,winter,0.035,0.353,-0.0
9,UTHg,Yukon,summer,0.54,0.166,-0.0
10,UTHg,Mackenzie,winter,0.042,0.18,-0.0
11,UTHg,Mackenzie,summer,0.798,0.096,0.0
0,POC,Ob,winter,0.014,0.177,-0.0
1,POC,Ob,summer,0.19,0.149,0.0
2,POC,Yenisey,winter,0.039,0.188,-0.0
3,POC,Yenisey,summer,0.051,0.23,0.0
4,POC,Lena,winter,0.006,0.125,-0.0
5,POC,Lena,summer,0.35,0.184,0.0
6,POC,Kolyma,winter,0.002,0.224,0.0
7,POC,Kolyma,summer,0.687,0.169,-0.0
8,POC,Yukon,winter,0.01,0.317,-0.0
9,POC,Yukon,summer,0.031,0.277,-0.0
10,POC,Mackenzie,winter,0.116,0.27,-0.0
11,POC,Mackenzie,summer,0.49,0.289,-0.0
0,PON,Ob,winter,0.008,0.199,0.0
1,PON,Ob,summer,0.13,0.157,0.0
2,PON,Yenisey,winter,0.264,0.189,-0.0
3,PON,Yenisey,summer,0.012,0.223,0.0
4,PON,Lena,winter,0.061,0.148,-0.0
5,PON,Lena,summer,0.209,0.175,0.0
6,PON,Kolyma,winter,0.029,0.251,-0.0
7,PON,Kolyma,summer,0.646,0.19,-0.0
8,PON,Yukon,winter,0.028,0.33,0.0
9,PON,Yukon,summer,0.062,0.258,-0.0
10,PON,Mackenzie,winter,0.101,0.249,0.0
11,PON,Mackenzie,summer,0.568,0.215,-0.0
0,pH,Ob,annual,0.012,0.024,-0.0
1,pH,Yenisey,annual,0.127,0.014,-0.0
2,pH,Lena,annual,0.001,0.014,-0.0
3,pH,Kolyma,annual,0.046,0.026,-0.0
4,pH,Yukon,annual,0.422,0.014,0.0
5,pH,Mackenzie,annual,0.126,0.011,-0.0
0,Alk,Ob,annual,0.61,0.13,0.0
1,Alk,Yenisey,annual,0.72,0.107,0.0
2,Alk,Lena,annual,0.817,0.064,0.0
3,Alk,Kolyma,annual,0.418,0.09,0.0
4,Alk,Yukon,annual,0.569,0.1,-0.0
5,Alk,Mackenzie,annual,0.521,0.042,0.0
0,DOC,Ob,annual,0.389,0.105,-0.0
1,DOC,Yenisey,annual,0.765,0.105,0.0
2,DOC,Lena,annual,0.403,0.144,-0.0
3,DOC,Kolyma,annual,0.587,0.129,-0.0
4,DOC,Yukon,annual,0.646,0.14,0.0
5,DOC,Mackenzie,annual,0.278,0.084,0.0
0,DON,Ob,annual,0.181,0.179,-0.0
1,DON,Yenisey,annual,0.431,0.158,0.0
2,DON,Lena,annual,0.349,0.161,-0.0
3,DON,Kolyma,annual,0.021,0.218,0.0
4,DON,Yukon,annual,0.436,0.215,-0.0
5,DON,Mackenzie,annual,0.098,0.248,0.0
0,NO3,Ob,annual,0.111,0.5,-0.0
1,NO3,Yenisey,annual,0.163,0.621,-0.0
2,NO3,Lena,annual,0.525,0.443,0.0
3,NO3,Kolyma,annual,0.268,0.435,-0.0
4,NO3,Yukon,annual,0.734,0.094,-0.0
5,NO3,Mackenzie,annual,0.537,0.144,-0.0
0,NH4,Ob,annual,0.713,0.364,0.0
1,NH4,Yenisey,annual,0.047,0.333,0.0
2,NH4,Lena,annual,0.091,0.338,-0.0
3,NH4,Kolyma,annual,0.083,0.372,0.0
4,NH4,Yukon,annual,0.563,0.382,0.0
5,NH4,Mackenzie,annual,0.007,0.422,0.0
0,TDP,Ob,annual,0.029,0.258,-0.0
1,TDP,Yenisey,annual,0.115,0.185,-0.0
2,TDP,Lena,annual,0.119,0.276,-0.0
3,TDP,Kolyma,annual,0.136,0.268,-0.0
4,TDP,Yukon,annual,0.177,0.275,0.0
5,TDP,Mackenzie,annual,0.118,0.3,-0.0
0,PO4,Ob,annual,0.0,0.229,-0.0
1,PO4,Yenisey,annual,0.001,0.181,-0.0
2,PO4,Lena,annual,0.096,0.278,0.0
3,PO4,Kolyma,annual,0.017,0.233,-0.0
4,PO4,Yukon,annual,0.035,0.227,0.0
5,PO4,Mackenzie,annual,0.151,0.317,-0.0
0,DHP,Ob,annual,0.086,0.399,-0.0
1,DHP,Yenisey,annual,0.003,0.436,-0.0
2,DHP,Lena,annual,0.034,0.363,0.0
3,DHP,Kolyma,annual,0.126,0.464,-0.0
4,DHP,Yukon,annual,0.032,0.485,0.0
5,DHP,Mackenzie,annual,0.013,0.389,0.0
0,SiO2,Ob,annual,0.524,0.158,0.0
1,SiO2,Yenisey,annual,0.216,0.098,-0.0
2,SiO2,Lena,annual,0.547,0.093,0.0
3,SiO2,Kolyma,annual,0.412,0.113,-0.0
4,SiO2,Yukon,annual,0.39,0.114,-0.0
5,SiO2,Mackenzie,annual,0.012,0.078,0.0
0,UTHg,Ob,annual,0.151,0.205,0.0
1,UTHg,Yenisey,annual,0.296,0.293,-0.0
2,UTHg,Lena,annual,0.441,0.222,-0.0
3,UTHg,Kolyma,annual,0.505,0.206,-0.0
4,UTHg,Yukon,annual,0.538,0.272,0.0
5,UTHg,Mackenzie,annual,0.831,0.153,-0.0
0,POC,Ob,annual,0.256,0.161,-0.0
1,POC,Yenisey,annual,0.206,0.201,-0.0
2,POC,Lena,annual,0.839,0.192,-0.0
3,POC,Kolyma,annual,0.646,0.226,-0.0
4,POC,Yukon,annual,0.403,0.295,-0.0
5,POC,Mackenzie,annual,0.673,0.297,0.0
0,PON,Ob,annual,0.455,0.184,-0.0
1,PON,Yenisey,annual,0.324,0.205,-0.0
2,PON,Lena,annual,0.84,0.198,-0.0
3,PON,Kolyma,annual,0.626,0.257,0.0
4,PON,Yukon,annual,0.456,0.286,-0.0
5,PON,Mackenzie,annual,0.788,0.236,0.0
